Animal ID,Name,Outcome Date,Outcome Time,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Days upon Outcome
A659834,*Dudley,10/1/13,9:31AM,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black,60
A664235,,10/1/13,10:39AM,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Orange/White,7
A664236,,10/1/13,10:44AM,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Orange/White,7
A664237,,10/1/13,10:44AM,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Orange/White,7
A664223,Moby,10/1/13,11:03AM,Return to Owner,,Dog,Neutered Male,4 years,Bulldog Mix,White,1460
A663646,,10/1/13,11:12AM,Transfer,Partner,Dog,Neutered Male,3 years,Toy Poodle Mix,White,1095
A663888,,10/1/13,11:13AM,Transfer,Partner,Dog,Spayed Female,2 years,Boxer Mix,Red/White,730
A663572,*Starla,10/1/13,11:42AM,Adoption,,Dog,Spayed Female,3 years,Anatol Shepherd Mix,White/Brown,1095
A663833,Baby Girl,10/1/13,11:50AM,Return to Owner,,Dog,Spayed Female,9 years,Labrador Retriever Mix,Black,3285
A661795,Blakie,10/1/13,11:53AM,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie,180
A656894,Jake,10/1/13,11:53AM,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black,150
A663342,Deco,10/1/13,12:05PM,Euthanasia,Behavior,Dog,Neutered Male,1 year,Chesa Bay Retr Mix,Red/White,365
A664225,Lou,10/1/13,12:13PM,Return to Owner,,Dog,Neutered Male,3 years,Shih Tzu Mix,Gray/White,1095
A663546,*Gage,10/1/13,12:24PM,Euthanasia,Aggressive,Dog,Neutered Male,2 years,American Bulldog Mix,White/Brown Brindle,730
A648744,Claire,10/1/13,12:27PM,Return to Owner,,Dog,Spayed Female,1 year,Anatol Shepherd Mix,White/Tricolor,365
A664258,Sylvio,10/1/13,12:27PM,Return to Owner,,Dog,Neutered Male,7 years,Weimaraner Mix,Silver,2555
A613553,Beast,10/1/13,12:32PM,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White,1095
A664219,,10/1/13,12:34PM,Died,In Kennel,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White,30
A663495,Pikachu,10/1/13,12:45PM,Return to Owner,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Torbie,120
A664271,,10/1/13,12:57PM,Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair Mix,Orange Tabby,7
A664263,,10/1/13,12:58PM,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Orange Tabby,7
A664262,,10/1/13,12:59PM,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Orange Tabby,7
A664260,,10/1/13,1:00PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White,21
A664261,,10/1/13,1:00PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie,21
A663938,,10/1/13,1:16PM,Euthanasia,Suffering,Dog,Neutered Male,10 years,Rottweiler/Labrador Retriever,Black/Tan,3650
A664171,Knight,10/1/13,1:59PM,Return to Owner,,Dog,Neutered Male,9 months,Basset Hound Mix,Black,270
A663955,,10/1/13,2:13PM,Transfer,Partner,Dog,Intact Female,14 years,Chihuahua Shorthair Mix,Black/Tan,5110
