Name,Type,County,Population (2010)
Los Angeles,City,Los Angeles,3792621
San Diego,City,San Diego,1301617
San Jose,City,Santa Clara,945942
San Francisco,City and county,San Francisco,805235
Sacramento,City,Sacramento,466488
Oakland,City,Alameda,390724
Bakersfield,City,Kern,347483
Anaheim,City,Orange,336265
Santa Ana,City,Orange,324528
Riverside,City,Riverside,303871
Stockton,City,San Joaquin,291707
Chula Vista,City,San Diego,243916
Fremont,City,Alameda,214089
Irvine,City,Orange,212375
San Bernardino,City,San Bernardino,209924
Modesto,City,Stanislaus,201165
Oxnard,City,Ventura,197899
Fontana,City,San Bernardino,196069
Moreno Valley,City,Riverside,193365
Glendale,City,Los Angeles,191719
Huntington Beach,City,Orange,189992
Santa Clarita,City,Los Angeles,176320
Garden Grove,City,Orange,170883
Santa Rosa,City,Sonoma,167815
Oceanside,City,San Diego,167086
Rancho Cucamonga,City,San Bernardino,165269
Ontario,City,San Bernardino,163924
Lancaster,City,Los Angeles,156633
Elk Grove,City,Sacramento,153015
Palmdale,City,Los Angeles,152750
Corona,City,Riverside,152374
Salinas,City,Monterey,150441
Pomona,City,Los Angeles,149058
Torrance,City,Los Angeles,145538
Hayward,City,Alameda,144186
Escondido,City,San Diego,143911
Sunnyvale,City,Santa Clara,140081
Pasadena,City,Los Angeles,137122
Fullerton,City,Orange,135161
Orange,City,Orange,134616
Thousand Oaks,City,Ventura,126683
Visalia,City,Tulare,124442
Simi Valley,City,Ventura,124237
Concord,City,Contra Costa,122067
Roseville,City,Placer,118788
Santa Clara,City,Santa Clara,116468
Vallejo,City,Solano,115942
